Flu Season,Symptomatic Illnesses,Symptomatic Illnesses 95% UI Lower Bound,Symptomatic Illnesses 95% UI Upper Bound,Medical Visits,Medical Visits 95% UI Lower Bound,Medical Visits 95% UI Upper Bound,Hospitalizations,Hospitalizations 95% UI Lower Bound,Hospitalizations 95% UI Upper Bound,Deaths,Deaths 95% UI Lower Bound,Deaths 95% UI Upper Bound
2010-2011,23000000,17000000,55000000,11000000,8200000,25000000,310000,200000,1100000,38000,22000,150000
2011-2012,9400000,6800000,54000000,4400000,3200000,23000000,140000,87000,980000,13000,7200,36000
2012-2013,34000000,27000000,66000000,16000000,13000000,31000000,580000,370000,2100000,43000,25000,120000
2013-2014,30000000,25000000,43000000,13000000,11000000,19000000,350000,270000,670000,38000,23000,100000
2014-2015,30000000,26000000,40000000,14000000,12000000,20000000,590000,420000,1200000,51000,34000,100000
2015-2016,24000000,20000000,33000000,11000000,8700000,15000000,280000,210000,510000,22000,17000,38000
2016-2017,29000000,24000000,43000000,14000000,11000000,20000000,500000,380000,890000,38000,27000,61000
2017-2018,41000000,35000000,53000000,19000000,16000000,25000000,710000,560000,1100000,52000,36000,99000
2018-2019,29000000,25000000,39000000,14000000,11000000,18000000,400000,320000,650000,32000,21000,79000
2019-2020,34000000,28000000,58000000,15000000,12000000,26000000,380000,310000,650000,26000,18000,88000
2021-2022,11000000,9000000,20000000,5100000,4000000,8600000,120000,97000,230000,6300,4000,16000
2022-2023,29000000,25000000,43000000,13000000,11000000,19000000,340000,270000,540000,25000,18000,48000
2023-2024,37000000,32000000,57000000,17000000,14000000,25000000,430000,350000,680000,26000,22000,61000
2024-2025,51000000,43000000,76000000,23000000,19000000,34000000,710000,560000,1200000,45000,38000,110000
